,period,ratio
228,2019-08-17,0.63094
229,2019-08-18,0.15153
230,2019-08-19,0.52522
231,2019-08-20,0.84457
232,2019-08-21,0.6859
233,2019-08-22,0.58698
234,2019-08-23,0.56939
235,2019-08-24,0.36178
236,2019-08-25,0.12348
237,2019-08-26,0.45193
238,2019-08-27,0.77585
239,2019-08-28,0.67317
240,2019-08-29,0.64042
241,2019-08-30,0.63995
242,2019-08-31,0.42281
243,2019-09-01,0.12756
244,2019-09-02,0.52756
245,2019-09-03,1.06113
246,2019-09-04,1.09516
247,2019-09-05,1.16964
248,2019-09-06,1.27815
249,2019-09-07,1.00406
250,2019-09-08,0.33228
251,2019-09-09,0.83292
252,2019-09-10,0.96888
253,2019-09-11,0.44562
254,2019-09-12,0.12603
255,2019-09-13,0.07611
256,2019-09-14,0.09338
257,2019-09-15,0.129
258,2019-09-16,0.71517
259,2019-09-17,1.5317
260,2019-09-18,1.40371
261,2019-09-19,1.11902
262,2019-09-20,0.8368
263,2019-09-21,0.4741
264,2019-09-22,0.15522
265,2019-09-23,0.56559
266,2019-09-24,1.0007
267,2019-09-25,0.84086
268,2019-09-26,0.75618
269,2019-09-27,0.64485
270,2019-09-28,0.41573
271,2019-09-29,0.13867
272,2019-09-30,0.5085
273,2019-10-01,0.82685
274,2019-10-02,0.70345
275,2019-10-03,0.46857
276,2019-10-04,0.77426
277,2019-10-05,0.67957
278,2019-10-06,0.17193
279,2019-10-07,0.55126
280,2019-10-08,0.90847
281,2019-10-09,0.52888
282,2019-10-10,0.91725
283,2019-10-11,0.95918
284,2019-10-12,0.55404
285,2019-10-13,0.15471
286,2019-10-14,0.52
287,2019-10-15,0.85334
288,2019-10-16,0.73129
289,2019-10-17,0.62123
290,2019-10-18,0.58677
291,2019-10-19,0.39711
292,2019-10-20,0.13763
293,2019-10-21,0.48471
294,2019-10-22,0.80552
295,2019-10-23,0.64619
296,2019-10-24,0.5707
297,2019-10-25,0.55169
298,2019-10-26,0.33242
299,2019-10-27,0.11584
300,2019-10-28,0.44031
301,2019-10-29,0.78775
302,2019-10-30,0.65283
303,2019-10-31,0.58104
304,2019-11-01,0.53358
305,2019-11-02,0.37764
306,2019-11-03,0.1215
307,2019-11-04,0.52477
308,2019-11-05,0.93912
309,2019-11-06,0.86731
310,2019-11-07,0.78041
311,2019-11-08,0.70381
312,2019-11-09,0.44872
313,2019-11-10,0.13708
314,2019-11-11,0.50522
315,2019-11-12,0.95196
316,2019-11-13,0.92323
317,2019-11-14,0.79826
318,2019-11-15,0.71127
319,2019-11-16,0.43124
320,2019-11-17,0.14406
321,2019-11-18,0.52681
322,2019-11-19,0.9098
323,2019-11-20,0.78507
324,2019-11-21,0.71073
325,2019-11-22,0.66977
326,2019-11-23,0.44529
327,2019-11-24,0.15454
328,2019-11-25,0.50018
329,2019-11-26,0.83572
330,2019-11-27,0.6966
331,2019-11-28,0.62508
332,2019-11-29,0.58566
333,2019-11-30,0.4035
334,2019-12-01,0.13805
335,2019-12-02,0.52417
336,2019-12-03,0.98765
337,2019-12-04,0.93013
338,2019-12-05,0.81009
339,2019-12-06,0.7145
340,2019-12-07,0.51342
341,2019-12-08,0.1512
342,2019-12-09,0.51537
343,2019-12-10,0.86714
344,2019-12-11,0.79681
345,2019-12-12,0.75067
346,2019-12-13,0.69059
347,2019-12-14,0.46124
348,2019-12-15,0.14741
349,2019-12-16,0.50859
350,2019-12-17,0.8632
351,2019-12-18,0.75109
352,2019-12-19,1.31722
353,2019-12-20,0.73418
354,2019-12-21,0.47508
355,2019-12-22,0.15279
356,2019-12-23,0.56864
357,2019-12-24,0.91955
358,2019-12-25,0.38884
359,2019-12-26,0.74743
360,2019-12-27,0.80811
361,2019-12-28,0.47122
362,2019-12-29,0.14373
363,2019-12-30,0.51448
364,2019-12-31,0.83785
365,2020-01-01,0.3846
366,2020-01-02,0.78132
367,2020-01-03,0.94963
368,2020-01-04,0.5525
369,2020-01-05,0.15474
370,2020-01-06,0.55463
371,2020-01-07,1.03807
372,2020-01-08,0.89648
373,2020-01-09,0.77165
374,2020-01-10,0.66341
375,2020-01-11,0.41303
376,2020-01-12,0.13584
377,2020-01-13,0.53977
378,2020-01-14,1.08141
379,2020-01-15,0.95521
380,2020-01-16,0.8732
381,2020-01-17,0.83443
382,2020-01-18,0.54944
383,2020-01-19,0.18343
384,2020-01-20,0.63949
385,2020-01-21,1.20069
386,2020-01-22,0.89288
387,2020-01-23,0.34805
388,2020-01-24,0.10945
389,2020-01-25,0.06181
390,2020-01-26,0.07583
391,2020-01-27,0.16378
392,2020-01-28,0.76995
393,2020-01-29,4.15507
394,2020-01-30,2.27573
395,2020-01-31,1.25461
396,2020-02-01,0.61131
397,2020-02-02,0.19242
398,2020-02-03,0.7152
399,2020-02-04,1.37459
400,2020-02-05,1.07343
401,2020-02-06,0.86004
402,2020-02-07,0.75134
403,2020-02-08,0.47613
404,2020-02-09,0.1682
405,2020-02-10,0.63193
406,2020-02-11,1.12406
407,2020-02-12,0.91111
408,2020-02-13,0.80204
409,2020-02-14,0.75472
410,2020-02-15,0.45808
411,2020-02-16,0.16977
412,2020-02-17,0.63189
413,2020-02-18,1.13516
414,2020-02-19,0.83773
415,2020-02-20,0.71576
416,2020-02-21,0.72477
417,2020-02-22,0.52606
418,2020-02-23,0.20091
419,2020-02-24,0.73066
420,2020-02-25,1.40214
421,2020-02-26,1.33054
422,2020-02-27,1.27001
423,2020-02-28,1.18561
424,2020-02-29,0.80678
425,2020-03-01,0.25839
426,2020-03-02,0.85704
427,2020-03-03,1.66096
428,2020-03-04,1.55606
429,2020-03-05,1.42696
430,2020-03-06,1.33729
431,2020-03-07,0.88526
432,2020-03-08,0.26232
433,2020-03-09,0.85145
434,2020-03-10,1.46928
435,2020-03-11,1.32917
436,2020-03-12,1.18682
437,2020-03-13,1.06548
438,2020-03-14,0.6845
439,2020-03-15,0.23822
440,2020-03-16,0.83658
441,2020-03-17,1.44783
442,2020-03-18,1.29788
443,2020-03-19,1.15784
444,2020-03-20,1.03614
445,2020-03-21,0.61421
446,2020-03-22,0.21882
447,2020-03-23,0.7701
448,2020-03-24,1.36208
449,2020-03-25,1.15928
450,2020-03-26,1.00752
451,2020-03-27,0.93771
452,2020-03-28,0.62268
453,2020-03-29,0.20981
454,2020-03-30,0.7254
455,2020-03-31,1.28958
456,2020-04-01,1.07092
457,2020-04-02,0.97309
458,2020-04-03,0.94133
459,2020-04-04,0.6306
460,2020-04-05,0.19744
461,2020-04-06,0.70891
462,2020-04-07,1.31488
463,2020-04-08,1.12428
464,2020-04-09,0.94915
465,2020-04-10,0.85097
466,2020-04-11,0.55407
467,2020-04-12,0.19701
468,2020-04-13,0.74203
469,2020-04-14,1.39106
470,2020-04-15,0.95411
471,2020-04-16,1.46559
472,2020-04-17,1.61588
473,2020-04-18,0.81505
474,2020-04-19,0.21572
475,2020-04-20,0.7403
476,2020-04-21,1.40259
477,2020-04-22,1.1866
478,2020-04-23,0.94953
479,2020-04-24,0.86665
480,2020-04-25,0.54937
481,2020-04-26,0.19043
482,2020-04-27,0.70904
483,2020-04-28,1.41779
484,2020-04-29,1.34425
485,2020-04-30,0.80014
486,2020-05-01,1.01096
487,2020-05-02,0.499
488,2020-05-03,0.20188
489,2020-05-04,0.70105
490,2020-05-05,0.80264
491,2020-05-06,1.81718
492,2020-05-07,2.08588
493,2020-05-08,1.87098
494,2020-05-09,1.09018
495,2020-05-10,0.29151
496,2020-05-11,0.90309
497,2020-05-12,1.48517
498,2020-05-13,1.30163
499,2020-05-14,1.12538
500,2020-05-15,0.9903
501,2020-05-16,0.58608
502,2020-05-17,0.19329
503,2020-05-18,0.71133
504,2020-05-19,1.37016
505,2020-05-20,1.23136
506,2020-05-21,1.0028
507,2020-05-22,0.91012
508,2020-05-23,0.55993
509,2020-05-24,0.19758
510,2020-05-25,0.68969
511,2020-05-26,1.29025
512,2020-05-27,1.07622
513,2020-05-28,0.99478
514,2020-05-29,0.89159
515,2020-05-30,0.54644
516,2020-05-31,0.17946
517,2020-06-01,0.65166
518,2020-06-02,1.22701
519,2020-06-03,1.12741
520,2020-06-04,1.06126
521,2020-06-05,0.99334
522,2020-06-06,0.77807
523,2020-06-07,0.3701
524,2020-06-08,1.18531
525,2020-06-09,1.43305
526,2020-06-10,1.35681
527,2020-06-11,1.25024
528,2020-06-12,1.18114
529,2020-06-13,0.78886
530,2020-06-14,0.22545
531,2020-06-15,0.73114
532,2020-06-16,1.26598
533,2020-06-17,1.20335
534,2020-06-18,1.05841
535,2020-06-19,0.92596
536,2020-06-20,0.57714
537,2020-06-21,0.17259
538,2020-06-22,0.63679
539,2020-06-23,1.17026
540,2020-06-24,1.0647
541,2020-06-25,0.96474
542,2020-06-26,0.87146
543,2020-06-27,0.55244
544,2020-06-28,0.18019
545,2020-06-29,0.62944
546,2020-06-30,1.1454
547,2020-07-01,1.04531
