"업종별",2015 1/4,2015 2/4,2015 3/4,2015 4/4,2016 1/4,2016 2/4,2016 3/4,2016 4/4,2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4,2020 2/4 p)
"업종별",불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수,불변지수
"홈쇼핑",98.8,96.1,93.5,111.7,104.7,106.9,105.2,120.8,111.7,113.0,112.3,128.2,127.2,126.9,118.6,137.2,128.9,129.1,123.1,138.6,135.9,137.4
