"업종별",2015 1/4,2015 2/4,2015 3/4,2015 4/4,2016 1/4,2016 2/4,2016 3/4,2016 4/4,2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4,2020 2/4 p)
"업종별",경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수
"홈쇼핑",99.0,95.9,93.5,111.6,105.7,108.3,106.6,122.2,113.6,114.4,114.0,129.8,129.4,129.1,121.5,140.4,131.8,132.1,126.0,142.3,140.6,141.8
