,temp,rain,humidity,sunshine,datetime
106,0.4,0.0,21,1.0,2019-01-05 16:00:00
107,-0.3,0.0,21,1.0,2019-01-05 17:00:00
108,-1.5,0.0,23,0.1,2019-01-05 18:00:00
109,-2.1,0.0,26,0.0,2019-01-05 19:00:00
110,-2.6,0.0,28,0.0,2019-01-05 20:00:00
111,-2.9,0.0,28,0.0,2019-01-05 21:00:00
112,-3.9,0.0,31,0.0,2019-01-05 22:00:00
113,-4.8,0.0,35,0.0,2019-01-05 23:00:00
114,-5.5,0.0,37,0.0,2019-01-06 00:00:00
115,-6.0,0.0,37,0.0,2019-01-06 01:00:00
116,-6.3,0.0,38,0.0,2019-01-06 02:00:00
117,-5.9,0.0,37,0.0,2019-01-06 03:00:00
118,-5.7,0.0,35,0.0,2019-01-06 04:00:00
119,-5.6,0.0,36,0.0,2019-01-06 05:00:00
120,-5.4,0.0,35,0.0,2019-01-06 06:00:00
121,-5.3,0.0,38,0.0,2019-01-06 07:00:00
122,-5.7,0.0,39,0.0,2019-01-06 08:00:00
123,-5.2,0.0,38,0.0,2019-01-06 09:00:00
124,-4.2,0.0,35,0.6,2019-01-06 10:00:00
125,-1.3,0.0,31,1.0,2019-01-06 11:00:00
126,0.2,0.0,28,1.0,2019-01-06 12:00:00
127,1.6,0.0,21,1.0,2019-01-06 13:00:00
128,1.8,0.0,22,1.0,2019-01-06 14:00:00
129,2.1,0.0,21,1.0,2019-01-06 15:00:00
130,2.5,0.0,22,1.0,2019-01-06 16:00:00
131,0.8,0.0,28,1.0,2019-01-06 17:00:00
132,-0.9,0.0,28,0.1,2019-01-06 18:00:00
133,-1.7,0.0,35,0.0,2019-01-06 19:00:00
134,-2.3,0.0,48,0.0,2019-01-06 20:00:00
135,-3.1,0.0,48,0.0,2019-01-06 21:00:00
136,-3.7,0.0,49,0.0,2019-01-06 22:00:00
137,-3.8,0.0,48,0.0,2019-01-06 23:00:00
138,-4.1,0.0,45,0.0,2019-01-07 00:00:00
139,-4.3,0.0,51,0.0,2019-01-07 01:00:00
140,-4.5,0.0,55,0.0,2019-01-07 02:00:00
141,-4.9,0.0,56,0.0,2019-01-07 03:00:00
142,-5.2,0.0,57,0.0,2019-01-07 04:00:00
143,-5.5,0.0,59,0.0,2019-01-07 05:00:00
144,-5.9,0.0,57,0.0,2019-01-07 06:00:00
145,-6.2,0.0,56,0.0,2019-01-07 07:00:00
146,-6.0,0.0,52,0.0,2019-01-07 08:00:00
147,-5.4,0.0,51,0.4,2019-01-07 09:00:00
148,-2.3,0.0,46,1.0,2019-01-07 10:00:00
149,-0.5,0.0,40,1.0,2019-01-07 11:00:00
150,0.6,0.0,33,1.0,2019-01-07 12:00:00
151,1.4,0.0,31,1.0,2019-01-07 13:00:00
152,1.7,0.0,34,1.0,2019-01-07 14:00:00
153,2.6,0.0,34,1.0,2019-01-07 15:00:00
154,2.7,0.0,31,0.6,2019-01-07 16:00:00
155,1.7,0.0,29,0.0,2019-01-07 17:00:00
156,0.6,0.0,34,0.0,2019-01-07 18:00:00
157,0.2,0.0,41,0.0,2019-01-07 19:00:00
158,-0.3,0.0,55,0.0,2019-01-07 20:00:00
159,-0.6,0.0,63,0.0,2019-01-07 21:00:00
160,-1.4,0.0,64,0.0,2019-01-07 22:00:00
161,-1.9,0.0,52,0.0,2019-01-07 23:00:00
162,-2.2,0.0,43,0.0,2019-01-08 00:00:00
163,-2.5,0.0,46,0.0,2019-01-08 01:00:00
164,-2.6,0.0,39,0.0,2019-01-08 02:00:00
165,-3.1,0.0,34,0.0,2019-01-08 03:00:00
166,-4.2,0.0,36,0.0,2019-01-08 04:00:00
167,-4.9,0.0,38,0.0,2019-01-08 05:00:00
168,-5.3,0.0,38,0.0,2019-01-08 06:00:00
169,-5.4,0.0,40,0.0,2019-01-08 07:00:00
170,-5.6,0.0,42,0.0,2019-01-08 08:00:00
171,-4.6,0.0,40,0.6,2019-01-08 09:00:00
172,-2.9,0.0,36,1.0,2019-01-08 10:00:00
173,-2.1,0.0,32,1.0,2019-01-08 11:00:00
174,-0.9,0.0,27,1.0,2019-01-08 12:00:00
175,-0.2,0.0,26,1.0,2019-01-08 13:00:00
176,-0.4,0.0,23,1.0,2019-01-08 14:00:00
177,0.3,0.0,20,1.0,2019-01-08 15:00:00
178,0.2,0.0,23,1.0,2019-01-08 16:00:00
179,-0.8,0.0,21,1.0,2019-01-08 17:00:00
180,-2.0,0.0,21,0.1,2019-01-08 18:00:00
181,-3.2,0.0,21,0.0,2019-01-08 19:00:00
182,-5.0,0.0,32,0.0,2019-01-08 20:00:00
183,-5.7,0.0,34,0.0,2019-01-08 21:00:00
184,-6.6,0.0,35,0.0,2019-01-08 22:00:00
185,-7.1,0.0,34,0.0,2019-01-08 23:00:00
186,-7.0,0.0,34,0.0,2019-01-09 00:00:00
187,-7.5,0.0,34,0.0,2019-01-09 01:00:00
188,-7.7,0.0,34,0.0,2019-01-09 02:00:00
189,-7.6,0.0,31,0.0,2019-01-09 03:00:00
190,-8.3,0.0,32,0.0,2019-01-09 04:00:00
191,-8.8,0.0,33,0.0,2019-01-09 05:00:00
192,-9.2,0.0,35,0.0,2019-01-09 06:00:00
193,-9.3,0.0,36,0.0,2019-01-09 07:00:00
194,-9.3,0.0,37,0.0,2019-01-09 08:00:00
195,-8.6,0.0,35,0.5,2019-01-09 09:00:00
196,-6.2,0.0,31,1.0,2019-01-09 10:00:00
197,-3.6,0.0,27,1.0,2019-01-09 11:00:00
198,-2.4,0.0,25,0.7,2019-01-09 12:00:00
199,-1.9,0.0,23,0.2,2019-01-09 13:00:00
200,-0.8,0.0,20,0.9,2019-01-09 14:00:00
201,0.7,0.0,19,1.0,2019-01-09 15:00:00
202,0.8,0.0,20,1.0,2019-01-09 16:00:00
203,-0.4,0.0,22,1.0,2019-01-09 17:00:00
204,-2.0,0.0,24,0.1,2019-01-09 18:00:00
205,-2.8,0.0,27,0.0,2019-01-09 19:00:00
206,-3.4,0.0,29,0.0,2019-01-09 20:00:00
207,-4.0,0.0,30,0.0,2019-01-09 21:00:00
208,-4.2,0.0,30,0.0,2019-01-09 22:00:00
209,-4.4,0.0,30,0.0,2019-01-09 23:00:00
210,-4.3,0.0,31,0.0,2019-01-10 00:00:00
211,-4.1,0.0,31,0.0,2019-01-10 01:00:00
212,-3.9,0.0,31,0.0,2019-01-10 02:00:00
213,-4.2,0.0,30,0.0,2019-01-10 03:00:00
214,-4.0,0.0,29,0.0,2019-01-10 04:00:00
215,-4.1,0.0,30,0.0,2019-01-10 05:00:00
216,-4.2,0.0,31,0.0,2019-01-10 06:00:00
217,-4.3,0.0,30,0.0,2019-01-10 07:00:00
218,-4.1,0.0,32,0.0,2019-01-10 08:00:00
219,-3.8,0.0,33,0.2,2019-01-10 09:00:00
220,-2.2,0.0,32,0.4,2019-01-10 10:00:00
221,-1.0,0.0,32,0.0,2019-01-10 11:00:00
222,2.0,0.0,36,0.9,2019-01-10 12:00:00
223,2.2,0.0,43,0.5,2019-01-10 13:00:00
224,1.9,0.0,39,0.0,2019-01-10 14:00:00
225,2.3,0.0,50,0.4,2019-01-10 15:00:00
226,2.7,0.0,51,0.7,2019-01-10 16:00:00
227,2.2,0.0,54,0.0,2019-01-10 17:00:00
228,1.5,0.0,60,0.0,2019-01-10 18:00:00
229,1.0,0.0,65,0.0,2019-01-10 19:00:00
230,0.8,0.0,69,0.0,2019-01-10 20:00:00
231,0.6,0.0,75,0.0,2019-01-10 21:00:00
232,0.6,0.0,77,0.0,2019-01-10 22:00:00
233,0.5,0.0,78,0.0,2019-01-10 23:00:00
234,0.6,0.0,75,0.0,2019-01-11 00:00:00
235,0.7,0.0,75,0.0,2019-01-11 01:00:00
236,0.8,0.0,74,0.0,2019-01-11 02:00:00
237,0.6,0.0,75,0.0,2019-01-11 03:00:00
238,0.3,0.0,76,0.0,2019-01-11 04:00:00
239,0.1,0.0,76,0.0,2019-01-11 05:00:00
240,0.1,0.0,75,0.0,2019-01-11 06:00:00
241,-0.1,0.0,76,0.0,2019-01-11 07:00:00
242,-0.3,0.0,78,0.0,2019-01-11 08:00:00
243,-0.2,0.0,75,0.2,2019-01-11 09:00:00
244,1.1,0.0,66,1.0,2019-01-11 10:00:00
245,2.9,0.0,56,1.0,2019-01-11 11:00:00
246,4.7,0.0,47,1.0,2019-01-11 12:00:00
247,5.9,0.0,42,1.0,2019-01-11 13:00:00
248,6.8,0.0,41,1.0,2019-01-11 14:00:00
249,6.5,0.0,43,1.0,2019-01-11 15:00:00
250,6.0,0.0,43,0.4,2019-01-11 16:00:00
251,5.0,0.0,45,0.3,2019-01-11 17:00:00
252,4.3,0.0,45,0.0,2019-01-11 18:00:00
253,3.7,0.0,47,0.0,2019-01-11 19:00:00
254,2.9,0.0,49,0.0,2019-01-11 20:00:00
255,2.2,0.0,52,0.0,2019-01-11 21:00:00
256,1.6,0.0,54,0.0,2019-01-11 22:00:00
257,1.6,0.0,54,0.0,2019-01-11 23:00:00
258,1.2,0.0,58,0.0,2019-01-12 00:00:00
259,1.5,0.0,52,0.0,2019-01-12 01:00:00
260,1.4,0.0,56,0.0,2019-01-12 02:00:00
261,1.5,0.0,54,0.0,2019-01-12 03:00:00
262,1.4,0.0,52,0.0,2019-01-12 04:00:00
263,1.5,0.0,53,0.0,2019-01-12 05:00:00
264,1.5,0.0,54,0.0,2019-01-12 06:00:00
265,1.3,0.0,53,0.0,2019-01-12 07:00:00
266,1.0,0.0,56,0.0,2019-01-12 08:00:00
